Projet;Site;Horizon;Depht (cm);Thickness(cm);Layers;Bulk density(kg m-3);Soil texture;Site_age; Munsell_color;Weigh_superior_2MM;Weigh _0_2MM;Repetition;pHCaCl2;CTRL_C_pourc;CTRL_S_pourc;CTRL_N_pourc;C_pourc;S_pourc;N_pourc
Pedology;Belanger/A9;H1;1,8;1,8;[0-1.8];912,7;Sand;14;10YR - 5/5;0;130,2;1;4,7;11,9815;0,229;1,03155;1,4351;0,11;0,10767
Pedology;Belanger/A9;H2;2,2;0,4;[1.8-2.2];912,7;Organic matter;14;10YR - 4/4;;50;1;3,74;11,9815;0,229;1,03155;1,8005;0,126;0,08469
Pedology;Belanger/A9;H3;3,2;1;[2.2-3.2];912,7;Sand;14;2,5Y - 5/4;1,4;74,1;1;3,87;11,9815;0,229;1,03155;1,242;0,0658;0,05394
Pedology;Belanger/A9;H4;3,6;0,4;[3.2-3.6];912,7;Organic matter;14;10YR - 3/3;;53,2;1;3,63;11,9815;0,229;1,03155;2,8387;0,0733;0,09081
Pedology;Belanger/A9;H5;5,1;1,5;[3.6-5.1];912,7;Sand;14;10YR - 4,5/4;0,7;84,4;1;3,93;11,9815;0,229;1,03155;0,89627;0,0578;0,05285
Pedology;Belanger/A9;H6;5,8;0,7;[5.1-5.8];912,7;Organic matter;14;10YR - 3/2,5;;67,5;1;3,66;11,9815;0,229;1,03155;3,2188;0,0612;0,0946
Pedology;Belanger/A9;H7;9,5;3,7;[5.8-9.5];912,7;Sand;14;2,5Y - 5/4;0,4;107,6;1;3,97;11,9815;0,229;1,03155;0,50213;0,053;0,03544
Pedology;Belanger/A9;H8;12;2;[9.5-12];1384,4;Organic matter;14;10YR - 2,5/2;;44,5;1;3,74;11,9815;0,229;1,03155;3,6864;0,0685;0,11334
Pedology;Belanger/A9;H9;12,5;0,5;[12-12.5];1384,4;Sand;14;10YR - 4,5/4;0,4;73,3;1;3,94;11,9815;0,229;1,03155;0,65293;0,0571;0,04559
Pedology;Belanger/A9;H10;19,2;6,7;[12.5-19.2];1384,4;Sand;14;10YR - 3/2;0,2;65;1;3,83;11,9815;0,229;1,03155;1,2243;0,0604;0,06562
Pedology;Belanger/A9;H11;27,7;7,7;[19.2-27.7];1403;Sand;14;10YR - 4/3,5;1,1;226,4;1;4,08;11,9815;0,229;1,03155;0,65519;0,0567;0,04127
Pedology;Belanger/A9;H11;30;2,3;[27.7-30];1403;Sand;14;1,25Y - 4/4;;;1;4,29;11,9815;0,229;1,03155;0,43642;0,0538;0,02821
Pedology;Fortier/45;H1;2;2;[0-2];906,1;Organic matter;19;10YR - 2/2;;74;1;3,39;11,8545;0,1965;1,00414;3,569;0,126;0,10692
Pedology;Fortier/45;H2;5;3;[2-5];906,1;Organic matter;19;7,5YR - 2,5/2;;82,65;1;3,5;11,8545;0,1965;1,00414;14,305;0,354;0,44582
Pedology;Fortier/45;H3;6,1;1,1;[5-6.1];906,1;Sand;19;2,5Y - 5/4;1,205;205,066;1;4,04;11,8545;0,1965;1,00414;0,35268;0,0551;0,03398
Pedology;Fortier/45;H4;6,4;0,3;[6.1-6.4];906,1;Organic matter;19;10YR - 3/4;0,44;63,694;1;3,94;11,8545;0,1965;1,00414;2,2926;0,0696;0,09852
Pedology;Fortier/45;H5;7,2;0,8;[6.4-7.2];906,1;Sand;19;2,5YR - 5/6;0,947;152,5;1;4,21;11,8545;0,1965;1,00414;0,31859;0,0585;0,03189
Pedology;Fortier/45;H6;7,5;0,3;[7.2-7.5];906,1;Organic matter;19;10YR - 3/3;1,378;53,05;1;4,08;11,8545;0,1965;1,00414;3,4791;0,0932;0,13795
Pedology;Fortier/45;H7;8,6;1,1;[7.5-8.6];906,1;Sand;19;2,5Y - 4/4;0,492;121,359;1;4,43;11,8545;0,1965;1,00414;0,5453;0,0643;0,04141
Pedology;Fortier/45;H8;8,9;0,3;[8.6-8.9];906,1;Organic matter;19;2,5Y - 4/2;0,737;96,522;1;4,26;11,8545;0,1965;1,00414;1,5974;0,0761;0,07366
Pedology;Fortier/45;H9;14,8;4,8;[8.9-14.8];1655,1;Sand;19;2,5Y - 4/3;0,834;163,138;1;4,44;11,8545;0,1965;1,00414;0,68482;0,0612;0,03612
Pedology;Fortier/45;H10;20;5,2;[14.8-20];1655,1;Sand;19;5Y - 5/2;;;1;5,08;11,8545;0,1965;1,00414;0,07139;0,0498;0,01404
Pedology;Fortier/45;H10;30;10;[20-30];1655,1;Sand;19;5Y - 5/2;;;1;5,08;11,8545;0,1965;1,00414;0,07139;0,0498;0,01404
